1,Spaghetti,[Pasta;Tomato Sauce;Meatballs],[200;500;300],4,[Boil pasta.;Cook meatballs.;Mix with tomato sauce.]
2,Chicken Stir-Fry,[Chicken Breast;Broccoli;Carrots;Soy Sauce],[250;150;100],3,[Slice chicken.;Stir-fry with veggies.;Add soy sauce.]
3,Caesar Salad,[Romaine Lettuce;Croutons;Chicken Breast;Caesar Dressing],[150;100;200],2,[Chop lettuce.;Add croutons grilled chicken and dressing.]
4,Vegetarian Pizza,[Pizza Dough;Tomato Sauce;Cheese;Mushrooms;Bell Peppers],[200;150;100],4,[Spread sauce on dough.;Add cheese and veggies.;Bake.]
5,Chocolate Chip Cookies,[Flour;Sugar;Butter;Chocolate Chips;Egg],[200;150;100],12,[Mix ingredients.;Drop dough on a tray.;Bake until golden.]
6,Beef Tacos,[Ground Beef;Taco Shells;Shredded Lettuce;Tomato;Salsa],[250;150;100],5,[Cook beef.;Assemble tacos with veggies and salsa.]
7,Greek Salad,[Feta Cheese;Olives;Tomato;Cucumber;Greek Dressing],[150;100;200],2,[Combine veggies.;Add feta and olives.;Drizzle dressing.]
8,Sushi Rolls,[Rice;Nori Sheets;Avocado;Cucumber;Salmon;Soy Sauce],[200;100;150],3,[Cook rice.;Assemble rolls with veggies and salmon.]
9,Minestrone Soup,[Beans;Tomatoes;Carrots;Celery;Onion],[200;150;100],6,[Cook veggies in broth.;Add beans and pasta.;Simmer.]
10,Spinach and Feta Quiche,[Eggs;Spinach;Feta Cheese;Onion;Pie Crust],[150;100;200],8,[Whisk eggs.;Mix with spinach feta and onion.;Bake.]
11,Shrimp Pasta,[Shrimp;Pasta;Alfredo Sauce;Broccoli;Garlic],[250;200;150],4,[Cook pasta.;Sauté shrimp and veggies.;Mix with Alfredo sauce.]
12,Blueberry Muffins,[Flour;Sugar;Blueberries;Milk;Egg],[200;150;100],12,[Mix dry and wet ingredients.;Fold in blueberries.;Bake.]
13,Chicken Noodle Soup,[Chicken Broth;Chicken Breast;Carrots;Celery;Egg Noodles],[250;150;100],6,[Boil broth.;Add cooked chicken veggies and noodles.]
14,Baked Salmon,[Salmon Fillet;Lemon;Dill;Garlic;Olive Oil],[200;100;150],3,[Season salmon.;Bake with lemon and herbs until flaky.]
15,Caprese Salad,[Tomato;Mozzarella Cheese;Basil;Olive Oil;Balsamic Glaze],[150;200;100],2,[Layer tomato mozzarella and basil.;Drizzle with oil and glaze.]
16,Beef and Broccoli,[Beef Strips;Broccoli;Soy Sauce;Ginger;Garlic;Rice],[250;150;100],4,[Sauté beef with ginger and garlic.;Add broccoli and soy sauce.;Serve over rice.]
17,Vegetable Stir-Fry,[Broccoli;Carrots;Snap Peas;Bell Peppers;Soy Sauce],[150;100;200],3,[Stir-fry veggies.;Add soy sauce.;Serve over rice or noodles.]
18,Chicken Parmesan,[Chicken Breast;Flour;Egg;Bread Crumbs;Tomato Sauce;Cheese],[250;150;100],4,[Dip chicken in flour egg and crumbs.;Fry.;Top with sauce and cheese.;Bake.]
19,Mango Salsa,[Mango;Red Onion;Jalapeno;Cilantro;Lime Juice],[150;100;200],2,[Dice mango and veggies.;Mix with lime juice and cilantro.]
20,Beef Burritos,[Ground Beef;Tortillas;Black Beans;Rice;Cheese;Salsa],[250;150;100],5,[Cook beef.;Assemble burritos with beans rice cheese and salsa.]
